,genre,occurances
1366,latin american classical piano,5
1367,turkish psych,5
1368,argentine indie,5
1369,berlin school,5
1370,new england emo,5
1371,nigerian hip hop,5
1372,new york drill,5
1373,washington indie,5
1374,texas pop punk,5
1375,brighton indie,5
1376,tollywood,5
1377,mantra,5
1378,japanese classical,5
1379,japanese classical performance,5
1380,japanese emo,5
1381,traditional british folk,5
1382,brazilian boogie,5
1383,brass ensemble,5
1384,mod revival,5
1385,japanese instrumental,5
1386,american shoegaze,5
1387,anadolu rock,5
1388,middle earth,5
1389,anarcho-punk,5
1390,vegas indie,5
1391,boston punk,5
1392,neo-traditional bluegrass,5
1393,minimal tech house,5
1394,boogie,5
1395,madrigal,5
1396,birmingham metal,5
1397,swedish hard rock,5
1398,mento,5
1399,danish electronic,5
1400,future rock,5
1401,contemporary classical piano,5
1402,spa,5
1403,gothenburg metal,5
1404,icelandic indie,5
1405,chunchaca,5
1406,serialism,5
1407,christian metalcore,5
1408,harp,5
1409,gothic post-punk,5
1410,copla,5
1411,gothic symphonic metal,5
1412,post-minimalism,5
1413,grand rapids indie,5
1414,full on,5
1415,st louis rap,5
1416,post-punk argentina,5
1417,sertanejo pop,5
1418,future house,5
1419,porro,5
1420,slam poetry,5
1421,hurdy-gurdy,5
1422,deathgrass,5
1423,ottawa rap,5
1424,classical harp,5
1425,pop nacional,5
1426,pony,5
1427,classic peruvian pop,5
1428,deep euro house,5
1429,scam rap,5
1430,classic korean pop,5
1431,gospel singers,5
1432,samba-rock,5
1433,colombian rock,5
1434,son cubano,5
1435,classic dubstep,5
1436,classic danish pop,5
1437,pakistani pop,5
1438,russian post-punk,5
1439,drama,5
1440,crack rock steady,5
1441,deathrash,5
1442,early avant garde,5
1443,psychedelic folk rock,5
1444,folk rock italiano,5
1445,rap dominicano,5
1446,nu-metalcore,5
1447,nwothm,5
1448,sitar,5
1449,folkmusik,5
1450,english renaissance,5
1451,fado,5
1452,sevdah,5
1453,string orchestra,5
1454,persian traditional,5
1455,rap conciencia,5
1456,cumbia lagunera,5
1457,halloween,5
1458,danish jazz,5
1459,straight-ahead jazz,5
1460,indie dream pop,5
1461,cumbia andina mexicana,5
1462,swing revival,5
1463,street punk,5
1464,flint hip hop,5
1465,queercore,5
1466,sheffield indie,5
1467,dutch trance,5
1468,cha-cha-cha,5
1469,darksynth,4
1470,uk pop punk,4
1471,gospel blues,4
1472,grunge pop,4
1473,moldovan pop,4
1474,polka,4
1475,dark techno,4
1476,deathgrind,4
1477,vancouver metal,4
1478,lancaster pa indie,4
1479,nashville hip hop,4
1480,musica nicaraguense,4
1481,gospel soul,4
1482,second line,4
1483,pirate,4
1484,kc indie,4
1485,dansktop,4
1486,musica infantil,4
1487,kayokyoku,4
1488,austrian choir,4
1489,ukulele,4
1490,kingston on indie,4
1491,musica potosina,4
1492,pinoy traditional,4
1493,music box,4
1494,mountain dulcimer,4
1495,urbano espanol,4
1496,pinoy reggae,4
1497,muzica populara,4
1498,pittsburgh rap,4
1499,danish pop,4
1500,gothenburg indie,4
1501,danish metal,4
1502,kompa,4
1503,canterbury scene,4
1504,deep comedy,4
1505,ghanaian hip hop,4
1506,anime latino,4
1507,mainland chinese pop,4
1508,malaysian mandopop,4
1509,military rap,4
1510,dream trance,4
1511,drone folk,4
1512,drone metal,4
1513,manguebeat,4
1514,rhode island indie,4
1515,dutch rock,4
1516,ambient worship,4
1517,ambient pop,4
1518,welsh indie,4
1519,mashup,4
1520,math rock,4
1521,progressive groove metal,4
1522,fort worth indie,4
1523,rap underground mexicano,4
1524,western americana,4
1525,estonian pop,4
1526,alabama indie,4
1527,metal guitar,4
1528,experimental vocal,4
1529,quebec indie,4
1530,float house,4
1531,acousmatic,4
1532,punjabi pop,4
1533,romanian rock,4
1534,ann arbor indie,4
1535,dhrupad,4
1536,salsa peruana,4
1537,scottish folk,4
1538,pop flamenco,4
1539,scottish electronic,4
1540,german punk,4
1541,vermont indie,4
1542,pop peruano,4
1543,latin soundtrack,4
1544,modern jazz trio,4
1545,australian garage punk,4
1546,pop quebecois,4
1547,latinx alternative,4
1548,jovem guarda,4
1549,german alternative rock,4
1550,arabesk,4
1551,salsa choke,4
1552,auckland indie,4
1553,russian pop,4
1554,viola,4
1555,portland punk,4
1556,desert blues,4
1557,rune folk,4
1558,argentine hip hop,4
1559,viral trap,4
1560,mississippi hip hop,4
1561,london rap,4
1562,louisville indie,4
1563,deep minimal techno,4
1564,bard,4
1565,j-pop girl group,4
1566,son cubano clasico,4
1567,horror synth,4
1568,trad jazz catala,4
1569,traditional bluegrass,4
1570,orquesta tipica,4
1571,japanese electropop,4
1572,classic polish pop,4
1573,classic psychedelic rock,4
1574,brazilian classical piano,4
1575,chinese classical performance,4
1576,chill out,4
1577,oud,4
1578,chilena,4
1579,hoerspiel,4
1580,sound team,4
1581,classical countertenor,4
1582,classical oboe,4
1583,canadian children's music,4
1584,japanese new wave,4
1585,collage pop,4
1586,north carolina indie,4
1587,pakistani folk,4
1588,south african pop,4
1589,classic j-rock,4
1590,classic italian folk pop,4
1591,southern metal,4
1592,bubble trance,4
1593,buffalo ny indie,4
1594,nisiotika,4
1595,spanish rock,4
1596,old west,4
1597,icelandic folk,4
1598,italian violin,4
1599,omaha indie,4
1600,classic afrobeat,4
1601,new wave of thrash metal,4
1602,nordic orchestra,4
1603,italian library music,4
1604,british death metal,4
1605,british comedy,4
1606,shimmer psych,4
1607,texas punk,4
1608,south carolina indie,4
1609,nz reggae,4
1610,nordic house,4
1611,stl indie,4
1612,boston folk,4
1613,indie psych-pop,4
1614,streichquartett,4
1615,nueva ola chilena,4
1616,swancore,4
1617,croatian pop,4
1618,irish hip hop,4
1619,turbo folk,4
1620,turkish classical,4
1621,croatian rock,4
1622,sky room,4
1623,hands up,4
1624,irish pop,4
1625,uk dancehall,4
1626,tabla,4
1627,bc underground hip hop,4
1628,bay area hip hop,4
1629,swedish singer-songwriter,4
1630,cumbia villera,4
1631,jig and reel,4
1632,country boogie,4
1633,nuevo flamenco,4
1634,irish pub song,4
1635,neo-rockabilly,4
1636,norwegian contemporary jazz,4
1637,black thrash,4
1638,contemporary folk,4
1639,indie rockism,4
1640,bmore,4
1641,bluegrass fiddle,4
1642,papuri,4
1643,norwegian black metal,4
1644,post-post-hardcore,3
1645,norwegian singer-songwriter,3
1646,spanish renaissance,3
1647,nottingham indie,3
1648,tagalog worship,3
1649,west african jazz,3
1650,swedish indie rock,3
1651,minecraft,3
1652,nu skool breaks,3
1653,oc indie,3
1654,zouk,3
1655,technical deathcore,3
1656,psychill,3
1657,techno kayo,3
1658,romanian pop,3
1659,mindfulness,3
1660,nz singer-songwriter,3
1661,milwaukee indie,3
1662,north carolina emo,3
1663,progressive sludge,3
1664,western mass indie,3
1665,nz indie,3
1666,street band,3
1667,rif,3
1668,worcester ma indie,3
1669,rochester mn indie,3
1670,tampa indie,3
1671,nordic soundtrack,3
1672,rock independant francais,3
1673,tango cancion,3
1674,norwegian metal,3
1675,romanian classical piano,3
1676,r&b en espanol,3
1677,vocal ensemble,3
1678,minneapolis punk,3
1679,swedish americana,3
1680,nordic folk,3
1681,witch house,3
1682,visor,3
1683,piano mpb,3
1684,spanish metal,3
1685,pop argentino,3
1686,paisley underground,3
1687,mollywood,3
1688,montreal indie,3
1689,soda pop,3
1690,trash rock,3
1691,polish contemporary classical,3
1692,neo-pagan,3
1693,trival,3
1694,trova mexicana,3
1695,umbanda,3
1696,slow game,3
1697,slc indie,3
1698,musica cristiana guatemalteca,3
1699,tucson indie,3
1700,pittsburgh rock,3
1701,partido alto,3
1702,ukrainian classical,3
1703,musica popular mineira,3
1704,twoubadou,3
1705,tzadik,3
1706,shakuhachi,3
1707,pet calming,3
1708,pinoy indie,3
1709,uk experimental electronic,3
1710,uk funky,3
1711,swiss metal,3
1712,uk garage,3
1713,phoenix indie,3
1714,pinoy hip hop,3
1715,soukous,3
1716,scottish singer-songwriter,3
1717,virginia punk,3
1718,sound effects,3
1719,virginia metal,3
1720,post-doom metal,3
1721,nightrun,3
1722,spanish indie pop,3
1723,spanish classical piano,3
1724,mississippi indie,3
1725,space ambient,3
1726,russian chanson,3
1727,popwave,3
1728,ontario indie,3
1729,popgaze,3
1730,vintage gospel,3
1731,sacred steel,3
1732,southern americana,3
1733,samba de roda,3
1734,viking folk,3
1735,samba moderno,3
1736,south carolina hip hop,3
1737,south african rock,3
1738,tolkien metal,3
1739,san marcos tx indie,3
1740,saskatchewan indie,3
1741,modern old-time,3
1742,south african jazz,3
1743,vgm remix,3
1744,new isolationism,3
1745,pop electronico,3
1746,vbs,3
1747,south african alternative,3
1748,puerto rican rock,3
1749,21st century classical,3
1750,japanese alternative rock,3
1751,champeta,3
1752,chamber folk,3
1753,jazz metal,3
1754,jazz accordion,3
1755,japanese traditional,3
1756,australian alternative pop,3
1757,dutch classical piano,3
1758,dutch hip hop,3
1759,dutch indie,3
1760,japanese pop punk,3
1761,dutch rap pop,3
1762,hokkien pop,3
1763,edmonton indie,3
1764,el paso indie,3
1765,electro-pop francais,3
1766,emocore,3
1767,japanese heavy metal,3
1768,enka,3
1769,ethnomusicology,3
1770,j-idol,3
1771,australian singer-songwriter,3
1772,fidget house,3
1773,jazz orchestra,3
1774,dunedin sound,3
1775,canzone genovese,3
1776,dunedin indie,3
1777,american oi,3
1778,american primitive,3
1779,dembow,3
1780,denpa-kei,3
1781,denton tx indie,3
1782,arab groove,3
1783,chilean indie,3
1784,kentucky hip hop,3
1785,denver indie,3
1786,chicano punk,3
1787,argentine punk,3
1788,chicago hardcore,3
1789,destroy techno,3
1790,argentine reggae,3
1791,dinner jazz,3
1792,diy emo,3
1793,dreamgaze,3
1794,charlotte nc indie,3
1795,dub poetry,3
1796,atlanta metal,3
1797,chaotic hardcore,3
1798,final fantasy,3
1799,azeri traditional,3
1800,khmer,3
1801,british post-rock,3
1802,german thrash metal,3
1803,german trance,3
1804,go-go,3
1805,belgian dance,3
1806,gothabilly,3
1807,indian indie,3
1808,indian fusion,3
1809,brazilian reggae,3
1810,brazilian edm,3
1811,griot,3
1812,guitarra argentina,3
1813,boston metal,3
1814,boston indie,3
1815,gypsy punk,3
1816,belgian rock,3
1817,bengali folk,3
1818,bleep techno,3
1819,bergen indie,3
1820,honky-tonk piano,3
1821,black punk,3
1822,historic string quartet,3
1823,german pop rock,3
1824,german hard rock,3
1825,italian jazz,3
1826,british power metal,3
1827,finnish edm,3
1828,finnish hard rock,3
1829,florida death metal,3
1830,focus trance,3
1831,canadian post-rock,3
1832,baiao,3
1833,canadian pop punk,3
1834,folklore venezolano,3
1835,forro,3
1836,forro tradicional,3
1837,canadian hardcore,3
1838,canadian choir,3
1839,cajun,3
1840,bush ballad,3
1841,burmese traditional,3
1842,instrumental grime,3
1843,indy indie,3
1844,geek folk,3
1845,indonesian pop,3
1846,buffalo hip hop,3
1847,broken beat,3
1848,chill pop,3
1849,historical keyboard,3
1850,cinematic post-rock,3
1851,lithuanian electronic,3
1852,dakke dak,3
1853,mathcore,3
1854,albuquerque indie,3
1855,classical saxophone,3
1856,classical piano trio,3
1857,christian hard rock,3
1858,classic latvian pop,3
1859,liverpool indie,3
1860,dayton indie,3
1861,maine indie,3
1862,makossa,3
1863,dark minimal techno,3
1864,abstract beats,3
1865,cumbia peruana,3
1866,latin house,3
1867,classic bhangra,3
1868,cincinnati rap,3
1869,cumbia ecuatoriana,3
1870,corrosion,3
1871,latin talent show,3
1872,danish rock,3
1873,classic punjabi pop,3
1874,latino comedy,3
1875,cuatro venezolano,3
1876,deep freestyle,3
1877,latvian pop,3
1878,afghan traditional,3
1879,african rock,3
1880,melodic groove metal,3
1881,deep latin christian,3
1882,chinese r&b,3
1883,chinese instrumental,3
1884,deep idm,3
1885,louisiana metal,3
1886,colombian hip hop,3
1887,deep soundtrack,3
1888,deep funk,3
1889,deep full on,3
1890,czech classical piano,3
1891,classic iskelma,3
1892,afro house,3
1893,afro psych,3
1894,comedy rock,3
1895,cumbia chilena,2
1896,cumbia funk,2
1897,slamming deathcore,2
1898,british grindcore,2
1899,garage punk blues,2
1900,german house,2
1901,folklore veracruzano,2
1902,taiwan classical performance,2
1903,cumbia ranchera,2
1904,skiffle,2
1905,cuban alternative,2
1906,classic norwegian pop,2
1907,buffalo ny metal,2
1908,gaming dubstep,2
1909,canadian experimental,2
1910,cumbia paraguaya,2
1911,funk mexicano,2
1912,french shoegaze,2
1913,tamil worship,2
1914,french movie tunes,2
1915,canadian comedy,2
1916,canadian classical,2
1917,south african pop dance,2
1918,cameroonian pop,2
1919,pop nacional antigas,2
1920,power thrash,2
1921,gainesville indie,2
1922,funk ostentacao,2
1923,canadian folk,2
1924,funk pop,2
1925,french hip hop,2
1926,cumbia pop,2
1927,futurepop,2
1928,canadian indie folk,2
1929,french psychedelic,2
1930,post-metal,2
1931,russian shoegaze,2
1932,british black metal,2
1933,connecticut hardcore,2
1934,concert band,2
1935,bossa nova jazz,2
1936,commons,2
1937,trap dominicano,2
1938,hamburg electronic,2
1939,hammered dulcimer,2
1940,blues mexicano,2
1941,partyschlager,2
1942,trap triste,2
1943,cleveland metal,2
1944,panpipe,2
1945,blackgaze,2
1946,columbus ohio indie,2
1947,hauntology,2
1948,hawaiian hip hop,2
1949,triangle indie,2
1950,trinidadian reggae,2
1951,hindi indie,2
1952,hip hop cubano,2
1953,pagan black metal,2
1954,bitpop,2
1955,oxford choir,2
1956,son jarocho,2
1957,bouncy house,2
1958,boy soprano,2
1959,south african house,2
1960,brazilian classical,2
1961,south african hip hop,2
1962,thai indie rock,2
1963,brisbane indie,2
1964,theremin,2
1965,polynesian hip hop,2
1966,folklore peruano,2
1967,sound art,2
1968,timba,2
1969,polish jazz,2
1970,classical mandolin,2
1971,classical piano duo,2
1972,contrabass,2
1973,gothic americana,2
1974,polca paraguaya,2
1975,plunderphonics,2
1976,greek contemporary classical,2
1977,greek folk,2
1978,greek guitar,2
1979,pittsburgh indie,2
1980,pinoy trap,2
1981,brazilian hip hop,2
1982,grindcore,2
1983,pinoy praise,2
1984,canadian indigenous,2
1985,finnish power metal,2
1986,folklore ecuatoriano,2
1987,romanian folk,2
1988,deep disco house,2
1989,dub metal,2
1990,scottish fiddle,2
1991,deep dance pop,2
1992,dub techno,2
1993,duluth indie,2
1994,christian a cappella,2
1995,scottish metal,2
1996,death 'n' roll,2
1997,christian hardcore,2
1998,chamber ensemble,2
1999,chamame,2
2000,rock baiano,2
2001,rock andaluz,2
2002,swedish country,2
2003,swedish dancehall,2
2004,spanish hip hop,2
2005,dutch cabaret,2
2006,dark disco,2
2007,rochester ny indie,2
2008,dutch dnb,2
2009,spanish baroque,2
2010,celtic metal,2
2011,christchurch indie,2
2012,spanish techno,2
2013,rennes indie,2
2014,digital hardcore,2
2015,rwandan traditional,2
2016,chinese classical piano,2
2017,chill lounge,2
2018,chill guitar,2
2019,deep southern soul,2
2020,deep punk rock,2
2021,deep pop edm,2
2022,chill beats,2
2023,russian folk rock,2
2024,samba-enredo,2
2025,children's story,2
2026,chihuahua indie,2
2027,chinese traditional,2
2028,russian choir,2
2029,chicago pop punk,2
2030,russian alternative rock,2
2031,sandalwood,2
2032,speed garage,2
2033,strut,2
2034,detroit house,2
2035,detroit techno,2
2036,substep,2
2037,detskie pesni,2
2038,dutch metal,2
2039,relaxative,2
2040,tagalog rap,2
2041,swedish soul,2
2042,quebec death metal,2
2043,quatuor a cordes,2
2044,qawwali,2
2045,swedish tropical house,2
2046,punta,2
2047,classic czech pop,2
2048,finnish alternative rock,2
2049,finnish classical,2
2050,southampton indie,2
2051,canto popular uruguayo,2
2052,south dakota indie,2
2053,shush,2
2054,swiss classical piano,2
2055,chinese audiophile,2
2056,swiss pop,2
2057,czech contemporary classical,2
2058,psychedelic punk,2
2059,folclor afrocolombiano,2
2060,symphonic black metal,2
2061,canadian rockabilly,2
2062,singaporean singer-songwriter,2
2063,syrian pop,2
2064,folclore tucumano,2
2065,swedish stoner rock,2
2066,quran,2
2067,sovietwave,2
2068,experimental guitar,2
2069,egyptian pop,2
2070,swedish heavy metal,2
2071,classic australian country,2
2072,electrofox,2
2073,swedish indie folk,2
2074,cedm,2
2075,reading indie,2
2076,english indie rock,2
2077,classic belgian pop,2
2078,danish pop rock,2
2079,caucasian classical,2
2080,swedish melodic rock,2
2081,rap napoletano,2
2082,cathedral choir,2
2083,ethio-jazz,2
2084,rap kreyol,2
2085,carnatic instrumental,2
2086,rap conscient,2
2087,ethnotronica,2
2088,rap chileno,2
2089,eugene indie,2
2090,rai,2
2091,eurovision,2
2092,reggaeton cristiano,2
2093,coco,2
2094,japanese garage rock,2
2095,klezmer,2
2096,kora,2
2097,ambient house,2
2098,italian baroque ensemble,2
2099,norsk lovsang,2
2100,bahamian pop,2
2101,welsh metal,2
2102,nordic post-rock,2
2103,ambient idm,2
2104,welsh folk,2
2105,knoxville indie,2
2106,nordic contemporary classical,2
2107,israeli folk,2
2108,music hall,2
2109,noise punk,2
2110,avant-garde metal,2
2111,autonomous black metal,2
2112,austrian pop,2
2113,nightcore,2
2114,ambient techno,2
2115,australian underground hip hop,2
2116,australian trap,2
2117,australian talent show,2
2118,korean classical piano,2
2119,balearic,2
2120,instrumental acoustic guitar,2
2121,barbershop,2
2122,basshall,2
2123,latin funk,2
2124,instrumental stoner rock,2
2125,nova musica pernambucana,2
2126,uk post-hardcore,2
2127,lafayette indie,2
2128,baroque brass,2
2129,barnmusik,2
2130,alaska indie,2
2131,norwegian rock,2
2132,bansuri,2
2133,israeli classical,2
2134,irish fiddle,2
2135,irish metal,2
2136,ukrainian electronic,2
2137,baltimore hip hop,2
2138,norwegian classical,2
2139,islamic recitation,2
2140,balkan classical piano,2
2141,northern irish punk,2
2142,balkan brass,2
2143,north east england indie,2
2144,washboard,2
2145,vaudeville,2
2146,j-ambient,2
2147,nantes indie,2
2148,musica tropical guatemalteca,2
2149,musical advocacy,2
2150,musikkorps,2
2151,japanese post-hardcore,2
2152,japanese power metal,2
2153,neo-traditional country,2
2154,muzika l'yeladim,2
2155,japanese psychedelic,2
2156,japanese punk rock,2
2157,audiophile vocal,2
2158,vintage dutch pop,2
2159,musica antigua,2
2160,nashville americana,2
2161,jazz harp,2
2162,juju,2
2163,jazz mexicano,2
2164,jazz tuba,2
2165,vintage rockabilly,2
2166,native american spiritual,2
2167,asheville indie,2
2168,asmr,2
2169,native american contemporary,2
2170,nerdcore,2
2171,neue deutsche harte,2
2172,neue deutsche todeskunst,2
2173,argentine heavy metal,2
2174,veena,2
2175,vegan straight edge,2
2176,volksmusik,2
2177,musica canaria,2
2178,new tribe,2
2179,j-punk,2
2180,australian r&b,2
2181,jacksonville indie,2
2182,australian post-punk,2
2183,432hz,2
2184,japanese dream pop,2
2185,american early music,2
2186,musica hondurena,2
2187,japanese folk,2
2188,birmingham grime,2
2189,kentucky punk,2
2190,musica para criancas,2
2191,new beat,2
2192,arabic jazz,2
2193,japanese jazztronica,2
2194,japanese metalcore,2
2195,latin ska,2
2196,jazz venezolano,2
2197,wind quintet,2
2198,belgian indie,2
2199,indian folk,2
2200,african reggae,2
2201,oceania soundtrack,2
2202,opera metal,2
2203,oc rap,2
2204,minneapolis metal,2
2205,hungarian choir,2
2206,indian jazz,2
2207,louisville underground,2
2208,indiana hip hop,2
2209,world meditation,2
2210,icelandic experimental,2
2211,indie electronica,2
2212,afro-funk,2
2213,lo star,2
2214,uk contemporary jazz,2
2215,nz folk,2
2216,wyoming indie,2
2217,indian edm,2
2218,modern big band,2
2219,wyoming roots,2
2220,old-time fiddle,2
2221,midwest americana,2
2222,adventista,2
2223,belgian new wave,2
2224,old school uk hip hop,2
2225,military cadence,2
2226,icelandic rock,2
2227,old school rap francais,2
2228,idaho indie,2
2229,mallet,2
2230,idol rock,2
2231,icelandic classical,2
2232,xhosa,2
2233,ilocano pop,2
2234,belgian pop,2
2235,michigan indie,2
2236,okc indie,2
2237,belgian classical piano,2
2238,manchester hip hop,2
2239,lexington ky indie,2
2240,huapango,2
2241,aggrotech,2
2242,latintronica,2
2243,belarusian indie,2
2244,zhongguo feng,2
2245,manitoba indie,2
2246,orthodox chant,2
2247,beatboxing,2
2248,ny roots,2
2249,mexican pop punk,2
2250,beat poetry,2
2251,indie singer-songwriter,2
2252,medieval rock,2
2253,zeuhl,2
2254,nueva ola peruana,2
2255,latin tech house,2
2256,indie game soundtrack,2
2257,indie quebecois,2
2258,messianic praise,2
2259,turkish classical performance,2
2260,beat italiano,2
2261,mbalax,2
2262,zimdancehall,1
2263,8-bit,1
2264,charlottesville indie,1
2265,zurich indie,1
2266,antilliaanse folklore,1
2267,zouglou,1
2268,arabic hip hop,1
2269,chilean hardcore,1
2270,clawhammer banjo,1
2271,animal singing,1
2272,yoga,1
2273,acid trance,1
2274,american metalcore,1
2275,arkansas hip hop,1
2276,argentine ambient,1
2277,sufi chant,1
2278,yorkshire folk,1
2279,arizona punk,1
2280,argentine telepop,1
2281,yugoslav new wave,1
2282,arkansas indie,1
2283,accordeon,1
2284,sudanese pop,1
2285,armenian folk,1
2286,zambian pop,1
2287,classical accordion,1
2288,classic tunisian pop,1
2289,argentine metal,1
2290,classic thai pop,1
2291,york indie,1
2292,south african choral,1
2293,asbury park indie,1
2294,argentine hardcore,1
2295,chattanooga indie,1
2296,south african country,1
2297,yoik,1
2298,virgin islands reggae,1
2299,violao classico,1
2300,steelpan,1
2301,american 21st century classical,1
2302,vogue,1
2303,classic finnish pop,1
2304,classic eurovision,1
2305,west australian hip hop,1
2306,afrofuturismo brasileiro,1
2307,christelijk,1
2308,alte,1
2309,women's choir,1
2310,alt-idol,1
2311,alberta hip hop,1
2312,charango,1
2313,christian dance,1
2314,west virginia indie,1
2315,spanish modern rock,1
2316,albany ny indie,1
2317,albanian pop,1
2318,spanish invasion,1
2319,western saharan folk,1
2320,soviet synthpop,1
2321,wisconsin indie,1
2322,circus,1
2323,alabama metal,1
2324,spanish folk metal,1
2325,christian power metal,1
2326,christmas product,1
2327,wind ensemble,1
2328,classic french pop,1
2329,ambient black metal,1
2330,chiptune,1
2331,wassoulou,1
2332,yiddish folk,1
2333,chinese classical,1
2334,action rock,1
2335,stomp and whittle,1
2336,warm drone,1
2337,chinese electropop,1
2338,xtra raw,1
2339,chinese hip hop,1
2340,circuit,1
2341,chinese idol pop,1
2342,chinese indie rock,1
2343,chinese jazz,1
2344,spanish synthpop,1
2345,african percussion,1
2346,springfield mo indie,1
2347,ambient industrial,1
2348,chinese soundtrack,1
2349,classic indo pop,1
2350,classic icelandic pop,1
2351,spiritual hip hop,1
2352,speedcore,1
2353,wave,1
2354,south carolina metal,1
2355,afro soul,1
2356,spanish noise pop,1
2357,birmingham hip hop,1
2358,svensk progg,1
2359,thai idol,1
2360,belarusian pop,1
2361,british children's music,1
2362,belarusian rock,1
2363,bristol indie,1
2364,bristol electronic,1
2365,thai folk,1
2366,thai folk rock,1
2367,thall,1
2368,tennessee metal,1
2369,breton folk,1
2370,belgian contemporary classical,1
2371,brega,1
2372,breakcore,1
2373,brazilian thrash metal,1
2374,tipico,1
2375,brazilian ska,1
2376,uk diy punk,1
2377,uk dub,1
2378,brazilian punk,1
2379,calgary indie,1
2380,tamil hip hop,1
2381,bandolim,1
2382,ukrainian choir,1
2383,uk stoner rock,1
2384,uk rockabilly,1
2385,cambridgeshire indie,1
2386,baroque singing,1
2387,technical groove metal,1
2388,brutal deathcore,1
2389,technical melodic death metal,1
2390,baroque woodwind,1
2391,uk noise rock,1
2392,bulgarian experimental,1
2393,uk house,1
2394,bath indie,1
2395,baton rouge indie,1
2396,belgian hardcore,1
2397,brazilian percussion,1
2398,chanson paillarde,1
2399,blackened crust,1
2400,belgian techno,1
2401,turkish experimental,1
2402,trap venezolano,1
2403,turkish edm,1
2404,beninese pop,1
2405,tunisian pop,1
2406,tuna estudiantil,1
2407,tulsa indie,1
2408,turkish modern jazz,1
2409,trio cubano,1
2410,berlin minimal techno,1
2411,tuareg guitar,1
2412,bible,1
2413,black 'n' roll,1
2414,binaural,1
2415,birdsong,1
2416,blues latinoamericano,1
2417,belgian singer-songwriter,1
2418,brazilian modern jazz,1
2419,traditional funk,1
2420,ugandan pop,1
2421,brazilian metal,1
2422,belgian indie rock,1
2423,brazilian groove metal,1
2424,brazilian contemporary classical,1
2425,belgian jazz,1
2426,brass quintet,1
2427,sotalaulut,1
2428,trap mexicano,1
2429,brain waves,1
2430,boy pop,1
2431,trance mexicano,1
2432,turkish trap pop,1
2433,trap chileno,1
2434,turkish trap,1
2435,boom bap brasileiro,1
2436,bandinhas,1
2437,tamaulipas rap,1
2438,tamaulipas indie,1
2439,victoria bc indie,1
2440,swedish hardcore,1
2441,vietnamese bolero,1
2442,vienna indie,1
2443,swedish house,1
2444,swedish idol pop,1
2445,australian classical,1
2446,australian classical piano,1
2447,australian indie rock,1
2448,vietnamese pop,1
2449,vgm instrumental,1
2450,caucasian classical piano,1
2451,swedish jazz orkester,1
2452,australian indigenous,1
2453,veracruz indie,1
2454,swedish metalcore,1
2455,australian metal,1
2456,celtic harp,1
2457,viking black metal,1
2458,ukrainian pop,1
2459,atmospheric post-rock,1
2460,atlanta punk,1
2461,channel islands indie,1
2462,atmospheric black metal,1
2463,atmospheric dnb,1
2464,swedish black metal,1
2465,swedish choir,1
2466,atmospheric post-metal,1
2467,atmospheric sludge,1
2468,swedish garage rock,1
2469,chakra,1
2470,swedish doom metal,1
2471,villancicos,1
2472,swedish electronic,1
2473,swedish eurodance,1
2474,australian ambient,1
2475,australian choir,1
2476,venezuelan indie,1
2477,australian post-hardcore,1
2478,swedish post-hardcore,1
2479,canadian metalcore,1
2480,baglama,1
2481,swiss rock,1
2482,swiss worship,1
2483,sydney indie,1
2484,bahai,1
2485,bajki,1
2486,canadian modern jazz,1
2487,university choir,1
2488,caracas indie,1
2489,canadian latin,1
2490,canadian indigenous hip hop,1
2491,baltic classical,1
2492,taiwan hip hop,1
2493,taiwan indie,1
2494,canadian house,1
2495,tajik pop,1
2496,utah indie,1
2497,uzbek pop,1
2498,cante flamenco,1
2499,swiss country,1
2500,swedish prog,1
2501,swedish progressive metal,1
2502,swedish rock-and-roll,1
2503,capoeira,1
2504,swedish synth,1
2505,variete francaise,1
2506,australian ska,1
2507,cape verdean folk,1
2508,swedish underground rap,1
2509,cape town indie,1
2510,austropop,1
2511,autoharp,1
2512,swiss black metal,1
2513,v-pop,1
2514,uzbek traditional,1
2515,braindance,1
2516,memphis indie,1
2517,college a cappella,1
2518,nuevo folklore mexicano,1
2519,north carolina metal,1
2520,northern irish indie,1
2521,isle of wight indie,1
2522,norwegian choir,1
2523,iskelma,1
2524,norwegian death metal,1
2525,norwegian experimental,1
2526,norwegian hip hop,1
2527,irish indie,1
2528,irish dance,1
2529,norwegian pop rap,1
2530,norwegian punk rock,1
2531,irish banjo,1
2532,norwegian space disco,1
2533,irish ballad,1
2534,irish accordion,1
2535,nova canco,1
2536,iowa hip hop,1
2537,nu age,1
2538,instrumental progressive metal,1
2539,instrumental math rock,1
2540,industrial hardcore,1
2541,indonesian worship,1
2542,nubian traditional,1
2543,indonesian r&b,1
2544,israeli hip hop,1
2545,israeli mediterranean,1
2546,israeli techno,1
2547,italian techno,1
2548,new orleans indie,1
2549,jamtronica,1
2550,j-reggae,1
2551,j-division,1
2552,j-dance,1
2553,new york death metal,1
2554,j-acoustic,1
2555,new zealand classical,1
2556,newcastle indie,1
2557,newcastle nsw indie,1
2558,italo house,1
2559,italian progressive metal,1
2560,norman ok indie,1
2561,italian power metal,1
2562,italian pop rock,1
2563,italian modern prog,1
2564,italian metal,1
2565,italian mandolin,1
2566,italian indie pop,1
2567,italian gothic metal,1
2568,italian gothic,1
2569,italian contemporary jazz,1
2570,italian classical guitar,1
